millis,type,message
1294573,INFO,Enabling IridiumMessageSender transmissions
1344225,INFO,Starting analysis m: 0 t: 0 e: 21
1344505,WARN,Disabling IridiumMessageSender transmissions
1345808,INFO,Completed analysis m: 0 t: 0 e: 21
1345830,INFO,Enabling IridiumMessageSender transmissions
1395425,INFO,Starting analysis m: 0 t: 0 e: 22
1395709,WARN,Disabling IridiumMessageSender transmissions
1396951,INFO,Completed analysis m: 0 t: 0 e: 22
1396977,INFO,Enabling IridiumMessageSender transmissions
1446637,INFO,Starting analysis m: 0 t: 0 e: 23
1446918,WARN,Disabling IridiumMessageSender transmissions
1448171,INFO,Completed analysis m: 0 t: 0 e: 23
1448196,INFO,Enabling IridiumMessageSender transmissions
1470271,INFO,Max CNO changed from 50 to 53
1497847,INFO,Starting analysis m: 0 t: 0 e: 24
1498128,WARN,Disabling IridiumMessageSender transmissions
1499385,INFO,Completed analysis m: 0 t: 0 e: 24
1499410,INFO,Enabling IridiumMessageSender transmissions
1500033,INFO,powerData | solV: 5.73
1500055,INFO,powerData | solI: 0.12
1500073,INFO,powerData | battV: 4.14
1500096,INFO,powerData | battI: 0.07
1500114,INFO,powerData | busV: 4.14
1500135,INFO,powerData | busI: 0.06
1500155,INFO,powerData | BQ status reg: 172
1500178,INFO,powerData | Fault reg: 0
1500200,INFO,powerData | Charge status: 2
1500219,INFO,powerData | DPM status: 1
1549051,INFO,Starting analysis m: 0 t: 0 e: 25
1549332,WARN,Disabling IridiumMessageSender transmissions
1550542,INFO,Completed analysis m: 0 t: 0 e: 25
1550567,INFO,Enabling IridiumMessageSender transmissions
1600266,INFO,Starting analysis m: 0 t: 0 e: 26
1600548,WARN,Disabling IridiumMessageSender transmissions
1601796,INFO,Completed analysis m: 0 t: 0 e: 26
1601820,INFO,Enabling IridiumMessageSender transmissions
1651470,INFO,Starting analysis m: 0 t: 0 e: 27
1651752,WARN,Disabling IridiumMessageSender transmissions
1653012,INFO,Completed analysis m: 0 t: 0 e: 27
1653037,INFO,Enabling IridiumMessageSender transmissions
1702674,INFO,Starting analysis m: 0 t: 0 e: 28
1702955,WARN,Disabling IridiumMessageSender transmissions
1704194,INFO,Completed analysis m: 0 t: 0 e: 28
1704220,INFO,Enabling IridiumMessageSender transmissions
1753892,INFO,Starting analysis m: 0 t: 0 e: 29
1754173,WARN,Disabling IridiumMessageSender transmissions
1755478,INFO,Completed analysis m: 0 t: 0 e: 29
1755500,INFO,Enabling IridiumMessageSender transmissions
1800034,INFO,powerData | solV: 5.73
1800056,INFO,powerData | solI: 0.16
1800075,INFO,powerData | battV: 4.14
1800095,INFO,powerData | battI: 0.13
1800114,INFO,powerData | busV: 4.15
1800134,INFO,powerData | busI: 0.05
1800153,INFO,powerData | BQ status reg: 172
1800173,INFO,powerData | Fault reg: 0
1800192,INFO,powerData | Charge status: 2
1800214,INFO,powerData | DPM status: 1
1805099,INFO,Starting analysis m: 0 t: 0 e: 30
1805381,WARN,Disabling IridiumMessageSender transmissions
1806708,INFO,Completed analysis m: 0 t: 0 e: 30
1806731,INFO,Enabling IridiumMessageSender transmissions
1856313,INFO,Starting analysis m: 0 t: 0 e: 31
1856591,WARN,Disabling IridiumMessageSender transmissions
1857849,INFO,Completed analysis m: 0 t: 0 e: 31
1857871,INFO,Enabling IridiumMessageSender transmissions
1907523,INFO,Starting analysis m: 0 t: 0 e: 32
1907804,WARN,Disabling IridiumMessageSender transmissions
1909051,INFO,Completed analysis m: 0 t: 0 e: 32
1909080,INFO,Enabling IridiumMessageSender transmissions
1958731,INFO,Starting analysis m: 0 t: 0 e: 33
1959010,WARN,Disabling IridiumMessageSender transmissions
1960267,INFO,Completed analysis m: 0 t: 0 e: 33
1960292,INFO,Enabling IridiumMessageSender transmissions
2009939,INFO,Starting analysis m: 0 t: 0 e: 34
2010220,WARN,Disabling IridiumMessageSender transmissions
2011480,INFO,Completed analysis m: 0 t: 0 e: 34
2011504,INFO,Enabling IridiumMessageSender transmissions
2061144,INFO,Starting analysis m: 0 t: 0 e: 35
2061426,WARN,Disabling IridiumMessageSender transmissions
2062680,INFO,Completed analysis m: 0 t: 0 e: 35
2062704,INFO,Enabling IridiumMessageSender transmissions
2100043,INFO,powerData | solV: 5.74
2100066,INFO,powerData | solI: 0.19
2100084,INFO,powerData | battV: 4.15
2100105,INFO,powerData | battI: 0.15
2100123,INFO,powerData | busV: 4.15
2100142,INFO,powerData | busI: 0.07
2100160,INFO,powerData | BQ status reg: 172
2100180,INFO,powerData | Fault reg: 0
2100199,INFO,powerData | Charge status: 2
2100221,INFO,powerData | DPM status: 1
2112352,INFO,Starting analysis m: 0 t: 0 e: 36
2112630,WARN,Disabling IridiumMessageSender transmissions
2113943,INFO,Completed analysis m: 0 t: 0 e: 36
2113966,INFO,Enabling IridiumMessageSender transmissions
2163562,INFO,Starting analysis m: 0 t: 0 e: 37
2163843,WARN,Disabling IridiumMessageSender transmissions
2165098,INFO,Completed analysis m: 0 t: 0 e: 37
2165123,INFO,Enabling IridiumMessageSender transmissions
2214776,INFO,Starting analysis m: 0 t: 0 e: 38
2215061,WARN,Disabling IridiumMessageSender transmissions
2216357,INFO,Completed analysis m: 0 t: 0 e: 38
2216380,INFO,Enabling IridiumMessageSender transmissions
2265982,INFO,Starting analysis m: 0 t: 0 e: 39
2266263,WARN,Disabling IridiumMessageSender transmissions
2267572,INFO,Completed analysis m: 0 t: 0 e: 39
2267594,INFO,Enabling IridiumMessageSender transmissions
2317185,INFO,Starting analysis m: 0 t: 0 e: 40
2317463,WARN,Disabling IridiumMessageSender transmissions
